BTC_ADDRESS,ETH_PAYOUT,REFERRAL_CODE,HD OFFSET
15MBv1ZxvD51cHC1ockBXGswLd8uMnDSBM,0x8ba7408497883d3a569066fa3a331aa892138868,,2494
142diRYTzzLkJKTNRPmdDgBRqRn9SG1QF7,0x3f19196348842e4775e7b648c3343bd2cecd99ca,,2500
16eUvZEkh79VZhFBGFx6Nkij9ZJEZ8unvJ,0x7ad6e05f8961ae99863f9c371d4f4f88f1d5bc08,,2502
15CrtZiUdUmFEQKrVgsP7EnzucMntDVDgF,0xc3b5cd23a4939ae9cf2718927f15607fbb906fec,,2588
1F3cMjQmTcHQT6dXRN3RihQ1fSZ9aPSoRw,0xb2ab4c1727c3e8d880d697391aa02c8040c7909c,,2591
1M2FudHbeWuNfrHBabVuZ4fqDRufrxtS2s,0xd4c5bbb72be1535ad4b445dfceffde5231f87b07,,2592
12BXtgcL573QQURQfLGHcF1GaRjCUf1tPz,0x6d3b61c88c6311cdb43da0215d7d8bf6705049d8,,2593
1NrKBBekffuqhLRWFEetkyZsasuaqH5Ds3,0x57258a9baed03dffd0f505289ecb7a0456a3a767,,65
1BZ8WSjqiKuHAf1kyxCPAoMUT2xw5mrDVw,0xea1082e869c89737a3db7b4aa3ea0dd06387758e,,69
1CT6tBNi32tgKdvCEsD4yFsdjX66PgKNNL,0x87e207925639f948f30de7469400c00b790b3da3,,70
17TzHX2cWEQUy3kfWkDNGUwdFJjuVD8tgx,0x430cf64dcdf30917d2d40df198d296569a27b96d,,71
15ni9NWji4qptrFJsdxnRJtNSZJCRK2Pri,cd605e44132ddd7809efa1702207ac75cf3bd0b0,,72
12ZN2PcCcvQQ2GHogE4HP1an5dBygs1AUx,0x430cf64dcdf30917d2d40df198d296569a27b96d,,74
1AFdeiHrPb2zLBbsvybUAYVXdV3vJjD3pL,0x3d3534eda65a74d5abd1dc6d45fbdee4bf18b391,,75
1AmMKSZwprvrzyLudMtA2cgvr8tCMmqE1V,0x3d3534eda65a74d5abd1dc6d45fbdee4bf18b391,,76
12v6K68jMHgxMcLwXNknoiAuoNm4um73jo,0xca835d88a3e6898aa17ad44bab6ce0c67a969310,,78
1GRmC7fiQN9zcJXg5SphtJDCkGGyZwDp1i,0xb852ead886747b45e2b5d38c596df1606888f23c,,80
1556DquEi2RGskwMWd9mS4huaZp9Me47S7,0xe3c4a3c85a0f8819f7223db124ab63d14ed02243,,82
133raaBbpo4tYAHJLcEVwD3v3S3YBdj1F8,0xc4df23ae861639c225cf8b3ea5256716c46780d3,,84
1N9c9ekNq9bj4YWcw8YXth7jYvTfsM3MY5,0xf63809615eaceb52b387f1de68c1eaab039b4ebd,,86
14J9UmNfA6h7dEvepbqUnxorCfWuD2K7WS,0xe6e561a05b7f63cd109484e192c440a9b61fd088,,87
1McaqF2LCMwZUurAsZWxMpcANEtpNjb79a,0x87e207925639f948f30de7469400c00b790b3da3,,88
13MeumAFgs2xCQy2BRaFsY1Ax1p3KBHdGb,0xd9dde0de7060fe5f7d2f670faafdf6ab79a971d2,,89
15KWAxPyhKzqHZ429vgakySpT5JHakivAq,0x34214f5a621b9337d494625d4b9e99677a495b68,,90
13puw8fuU3hWcZwfrxgZg3jDF19KYZtcKC,0x72741d17208232b7f5ddbcb12c7343895c9eb5b7,,91
1HdoYUmb19oJkaGZm9TKz3izqkSHjJovpm,0x87e207925639f948f30de7469400c00b790b3da3,,92
1AeuZs5FbFE9B6aGScp3vnYmKjydYHrqua,0x8e01c3b65a2a3b89f77e926a07c5eb338c408b97,,93
1Ddb9QhntzScyArv6oH5NHHnFYfeAi392b,0xfa1f419bc6e0839c55ea328211558e59d5d9aab3,,94
1GVzruKoNUyVByjeCwF6MtjF4gsboFdksD,0x037554e62fee99604c4472de0a7bcc5ace345e30,,95
1HPrbEphMRjBJVgoY65TfxrE6UTsqScWzb,0x94bd8554427490e232a97929d43ea4de457786e7,,96
1LzUYc3pHDLyETh6NE7kx7KVVk83S8XW17,0x430cf64dcdf30917d2d40df198d296569a27b96d,,97
1Q2CxoAYySyv1k578uBmN8t7P2zGW5YiyZ,0xd39bfb8821c7cffbc3ffecbe4dd63a447f420208,,98
1CTWjXNppHEUmo96x2P7LUYxrsTDXEAFU4,0x87e207925639f948f30de7469400c00b790b3da3,,99
1DqqTFVKvbaQdW3CuQceq9Ffvm6VLjMjfz,0x506dd1885f35b81de165d1e120f7a40b273620c3,,100
1LoJeS4PAqfm7nxoqep5Z6odhH78z38fgP,0x8ba7408497883d3a569066fa3a331aa892138868,,101
11632QnLK9NpxaKxDnVhaFFVg4B8WPLPQh,0x1cfe45f3722e2221f0eecec8245c78f14f853034,,102
1NP3cd6e5LddwuJkEz2jJUCGXQFXYv6doK,0x128c0b73a7e91519031864a2bffb0dd445b39880,,103
