timestamp,unix-epoch,from,to,txid,amount
10/02/2017 10:02:32,1506963752000,1LxRFVuuj97KTHge91of71P6Xjr1aC3SVd,1MHSpjHmX4aaAAH3m4uz1hiYWYb6Gx1TSz,f03abaad28e06a7d67b3a7b89824cd3897835c9f475740ab1d3aadb2d80fc104,0.16
10/02/2017 10:01:16,1506963676000,1D1ezQ5yrTQuGD69ttk9jcevhsz8eqfRKG,165fdacKySsZexAsQnMbRptX6EDsft1T54,37f7072e6251efb96793ec896f0280b5d150f07c00e43ff6636b0e68a99921d0,0.32185056
10/02/2017 10:00:53,1506963653000,3Nw96PpfFoiM863pEvWXyKpee9TFdCEV5G,12JNbM6wKKoTPd9vnwRGCj1LEhgX4wy7bH,c80a16e2411d4abb455cd6844b2daf877cfc4afda2a1eb969b3010e2ea4776b4,0.02223294
10/02/2017 09:57:36,1506963456000,1HXgYYvdGwDjjSmDpLhATpToc5MKH4P45w,18wJe75njNps4Z1cMGHoAN9hUTPU9UxLQE,9a9cad216c87eee19db2e69be0b5e545226f0813d729671c2c17330e25706af5,0.12
10/02/2017 09:48:23,1506962903000,3BLBnKCwZWrrxLiUg77QRHKiZgi8tjZqKW,1DLsRyCMayXEHsA1BsjygbZAWC57YFx1q,64cfaaef804834da0790cb7dc7a2c10eb3efb5325f304ca4ffd57e1fa199a2ce,0.006886
10/02/2017 09:45:54,1506962754000,1AAtTAmK4zcRBmr4CQvvMngbxHqjpSV4XA,16kKvAs8WBXgWC7348WyX6GH3oAo7CiL2H,59f5967ada56cc6445d865bf716d298d1ae387b26ed863242a38d14ae768f2f8,0.007
10/02/2017 09:43:03,1506962583000,1ECpk5ugataebUzbL9QkiXarRogFf9kzSB,1KDirqjRQNvNyboZDMrytnwPXBBfgmuNSK,40bb5e6b0482b14fb87e27fc24e0dd9941dd7227d4fb8fc51540b97ee868ed2f,0.01665754
10/02/2017 09:28:28,1506961708000,1CC1AKtH9Y1Z8GBDvjJvNepu7F8RLzx9gT,1LYztsdbsdhQ6rLjhnndVNzTvdouKwBci,5cdf1e20c0781c2c778418ec57539d484957ea2a8da232af52bf2231b6e85086,0.02717016
10/02/2017 09:26:49,1506961609000,12gwZarTzMzzUu99dAn85tJDxvvfj5Aodn,1KmJHHerKZPNqeBK4UxuCUrWofuMBS8T5n,9bb320f1926a7f84f52a31f44d7a4bb0c69d998a31a1d32df5fd9b60d40d306a,0.0132
10/02/2017 09:21:58,1506961318000,14eECoDoQttK3ktcViMVobXBApmzvz7q5Y,1NNzw3vZEe1hv9QzmftxQkiFozAXctnJ69,2dfe553dd4e3558010f54545b76db2ce15ecde2ba505da9d4dfbf5b615ad4f4f,0.02
10/02/2017 09:15:16,1506960916000,1LBDH7X5ivEQ93wAmkuAC6pUemqDd4axj7,1MR4e4R2B4zPRtt1ms6ecwawPhKkVAdMjv,477520a3124f45cc7bb8a43223ae8619f7e18a427364eea7f7b317c34615fc7d,0.13715377
10/02/2017 09:13:47,1506960827000,389Jt2DU1kwwDndfWTUQcno6BDcbS1rj8b,1FFkswXLienrfrLyvWiUXGWHvL4RaaTkS5,4b018174e1eebd137a29b70f4039ea7b2f77625ac0334ae9cef99b804ca42461,0.15
10/02/2017 12:17:02,1506971822000,1N52wHoVR79PMDishab2XmRHsbekCdGquK,1CGKWhVW9wkvbBPVrcqfF4VKyJG2zxJD5J,bd268fa71b6891fd38697b31d8639af7406a7412b0a0fdf632966349fd55f93b,0.009
10/02/2017 11:37:55,1506969475000,1N52wHoVR79PMDishab2XmRHsbekCdGquK,184cEp45Py7easgfu3WWhJeKBFDhWM24qj,00cc76dcff68cbcb4da28a74aa17cc65d69559fab2ab57cef08dd14254995b25,0.1
10/02/2017 11:29:32,1506968972000,3MVZUEZHFZAg8DBSa7uy5TpQKdxcoUARZD,1CjZ3LFTK1cx2Fe4yifDsEzxkEU8UsdgQY,4c1137faca5ac5eca5895e616aaca41b07dadf593c7220212d066d408839101b,0.06
10/02/2017 11:10:01,1506967801000,1JV7vik1RdxJzW1TSNv7acxt7QvZ8q75Xf,13yv5xcafCHQb29wC7rZ6TZpPCYZ2Cm36o,65961a55bb98d2537a5cad40d1be2adcaf302a218b194180d33b401942991d58,0.79973994
10/02/2017 11:08:39,1506967719000,1EfsWaqxXhZFRAZSaP7xzhyv37nYsybS59,1J8Uouzs7D1o66iGyakF5GDvWwGxdfLRWe,5cb7ffc36d9c47463d543b32503366d2fc715aaa30a76aa2f0f861336c9c7986,0.04800966
10/02/2017 11:07:22,1506967642000,1H6JSXyS9o19EQt35wyVQYG5UKLbjuAGCD,15BaBNe8ZjR1u4mnk7VJxy5GpP1fxuZwKW,a2141b498e2f49fe5f146e139042dc30805679da05c80b40018495d6d1b4ec56,0.009
10/02/2017 10:56:30,1506966990000,17i6HhUcvExdpeip583W6LpNepmCC6yHJy,135d7bHYYYmpnAASi4Bwn75QjDd7b9kvN6,fa5eaf76edaa4e04fd709e32d4a055229292971015230f62ba13b56f22dd2866,1.14157784
10/02/2017 10:54:37,1506966877000,14DoMpvwAASUvPA8uC19E2qAnWn3oshJbD,1EF8GkjUW4RWBmLdztJaDWfV5Kdn3Cwn5o,7d000ddd20afa100ab142cc647d4826a3442316e4af3aa07ab89dd0c72199837,0.03387362
